x-axis,CH2
second,Volt
3.0450e-03,4.6000e-02
3.0500e-03,4.6000e-02
3.0550e-03,4.6000e-02
3.0600e-03,4.6000e-02
3.0650e-03,4.6000e-02
3.0700e-03,4.6000e-02
3.0750e-03,4.6000e-02
3.0800e-03,4.6000e-02
3.0850e-03,4.6000e-02
3.0900e-03,4.6000e-02
3.0950e-03,4.6000e-02
3.1000e-03,4.6000e-02
3.1050e-03,4.6000e-02
3.1100e-03,4.6000e-02
3.1150e-03,4.6000e-02
3.1200e-03,4.6000e-02
3.1250e-03,4.6000e-02
3.1300e-03,4.6000e-02
3.1350e-03,4.6000e-02
3.1400e-03,4.6000e-02
3.1450e-03,4.6000e-02
3.1500e-03,4.6000e-02
3.1550e-03,4.6000e-02
3.1600e-03,4.6000e-02
3.1650e-03,4.6000e-02
3.1700e-03,4.6000e-02
3.1750e-03,4.6000e-02
3.1800e-03,4.6000e-02
3.1850e-03,4.6000e-02
3.1900e-03,4.6000e-02
3.1950e-03,4.6000e-02
3.2000e-03,4.6000e-02
3.2050e-03,4.6000e-02
3.2100e-03,4.6000e-02
3.2150e-03,4.6000e-02
3.2200e-03,4.6000e-02
3.2250e-03,4.6000e-02
3.2300e-03,4.6000e-02
3.2350e-03,4.6000e-02
3.2400e-03,4.6000e-02
3.2450e-03,4.6000e-02
3.2500e-03,4.6000e-02
3.2550e-03,4.6000e-02
3.2600e-03,4.6000e-02
3.2650e-03,4.6000e-02
3.2700e-03,4.6000e-02
3.2750e-03,4.6000e-02
3.2800e-03,4.6000e-02
3.2850e-03,4.6000e-02
3.2900e-03,4.6000e-02
3.2950e-03,4.6000e-02
3.3000e-03,4.6000e-02
3.3050e-03,4.6000e-02
3.3100e-03,4.6000e-02
3.3150e-03,4.6000e-02
3.3200e-03,4.6000e-02
3.3250e-03,4.6000e-02
3.3300e-03,4.6000e-02
3.3350e-03,4.6000e-02
3.3400e-03,4.6000e-02
3.3450e-03,4.6000e-02
3.3500e-03,4.6000e-02
3.3550e-03,4.6000e-02
3.3600e-03,4.6000e-02
3.3650e-03,4.6000e-02
3.3700e-03,4.6000e-02
3.3750e-03,4.6000e-02
3.3800e-03,4.6000e-02
3.3850e-03,4.6000e-02
3.3900e-03,4.6000e-02
3.3950e-03,4.6000e-02
3.4000e-03,4.6000e-02
3.4050e-03,4.6000e-02
3.4100e-03,4.6000e-02
3.4150e-03,4.6000e-02
3.4200e-03,4.6000e-02
3.4250e-03,4.6000e-02
3.4300e-03,4.6000e-02
3.4350e-03,4.6000e-02
3.4400e-03,4.6000e-02
3.4450e-03,4.6000e-02
3.4500e-03,4.6000e-02
3.4550e-03,4.6000e-02
3.4600e-03,4.6000e-02
3.4650e-03,4.6000e-02
3.4700e-03,4.6000e-02
3.4750e-03,4.6000e-02
3.4800e-03,4.6000e-02
3.4850e-03,4.6000e-02
3.4900e-03,4.6000e-02
3.4950e-03,4.6000e-02
3.5000e-03,4.6000e-02
3.5050e-03,4.6000e-02
3.5100e-03,4.6000e-02
3.5150e-03,4.6000e-02
3.5200e-03,4.6000e-02
3.5250e-03,4.6000e-02
3.5300e-03,4.6000e-02
3.5350e-03,4.6000e-02
3.5400e-03,4.6000e-02
3.5450e-03,4.6000e-02
3.5500e-03,4.6000e-02
3.5550e-03,4.6000e-02
3.5600e-03,4.6000e-02
3.5650e-03,4.6000e-02
3.5700e-03,4.6000e-02
3.5750e-03,4.6000e-02
3.5800e-03,4.6000e-02
3.5850e-03,4.6000e-02
3.5900e-03,4.6000e-02
3.5950e-03,4.6000e-02
3.6000e-03,4.6000e-02
3.6050e-03,4.6000e-02
3.6100e-03,4.6000e-02
3.6150e-03,4.6000e-02
3.6200e-03,4.6000e-02
3.6250e-03,4.6000e-02
